# RV data for HD75732
#************************************************************************
#      obnm      UT date             jd    mnvel   errvel   mdchi      cts
#************************************************************************
  rj48.476   2007/11/24   14429.005556   -60.58     0.93   1.106    74877
  rj48.904   2007/11/25   14430.080127   -66.91     0.99   1.119    76766
  rj49.144   2007/12/19   14454.002211    51.62     0.98   1.123    75555
  rj49.145   2007/12/19   14454.003588    53.75     1.00   1.109    74805
  rj49.565   2007/12/20   14454.963785    33.11     1.07   1.169    75636
  rj49.981   2007/12/21   14455.977072    -9.17     1.02   1.118    74201
 rj49.1935   2007/12/24   14458.960220   -52.73     1.13   1.119    46554
 rj49.2267   2007/12/26   14461.063148   -18.62     1.04   1.078    46136
 rj49.2658   2007/12/27   14461.945255     2.10     1.05   1.120    46133
  rj50.320   2008/01/27   14492.956319    30.75     0.92   1.192    79171
  rj52.151   2008/03/19   14544.911088   -28.27     0.93   1.151    72327
  rj52.549   2008/03/20   14545.903692   -52.36     0.79   1.227    76799
  rj61.471   2008/11/08   14779.088102   -19.66     1.10   1.125    49805
  rj61.472   2008/11/08   14779.088808   -20.75     1.10   1.106    48510
  rj61.473   2008/11/08   14779.089653   -18.62     1.06   1.124    50828
  rj63.151   2008/12/05   14806.009514    44.93     1.05   1.112    47833
  rj63.152   2008/12/05   14806.010278    39.37     1.01   1.131    46802
  rj63.153   2008/12/05   14806.011030    40.43     1.08   1.117    47157
  rj63.492   2008/12/06   14807.037569    25.16     1.01   1.114    50431
  rj63.493   2008/12/06   14807.038287    27.28     1.28   1.080    49173
  rj63.494   2008/12/06   14807.039120    26.00     1.25   1.082    48695
  rj63.770   2008/12/07   14808.013322   -13.94     0.96   1.177    48106
  rj63.771   2008/12/07   14808.014120   -18.11     1.13   1.188    49329
  rj63.772   2008/12/07   14808.014803   -14.99     1.01   1.197    50068
 rj63.1100   2008/12/08   14809.090706   -25.52     0.98   1.185    48754
 rj63.1101   2008/12/08   14809.091400   -28.52     1.01   1.134    48910
 rj63.1102   2008/12/08   14809.092199   -28.92     1.00   1.172    48020
 rj63.1344   2008/12/09   14809.972998   -36.68     0.86   1.179    51244
 rj63.1345   2008/12/09   14809.973727   -37.33     0.99   1.139    49110
 rj63.1346   2008/12/09   14809.974479   -35.38     1.02   1.137    48103
 rj63.1653   2008/12/10   14810.979062   -46.43     0.89   1.106    51011
 rj63.1654   2008/12/10   14810.979769   -45.56     0.98   1.107    48804
 rj63.1655   2008/12/10   14810.980486   -48.47     0.99   1.124    50029
  rj64.186   2009/01/07   14839.046552   -61.73     1.03   1.090    50078
  rj64.187   2009/01/07   14839.047281   -59.62     1.03   1.079    48765
  rj64.188   2009/01/07   14839.048011   -60.54     0.99   1.084    50132
  rj65.193   2009/01/15   14847.093226    77.13     1.16   1.091    48133
  rj65.194   2009/01/15   14847.094059    78.03     1.20   1.106    47169
  rj65.195   2009/01/15   14847.094823    77.85     1.10   1.116    47833
  rj66.148   2009/02/02   14864.991483    48.24     1.01   1.166    44320
  rj66.149   2009/02/02   14864.992317    46.61     0.96   1.198    50128
  rj66.150   2009/02/02   14864.993000    46.92     0.96   1.203    50860
  rj67.268   2009/04/06   14927.828168   -57.85     1.23   1.103    40800
  rj67.705   2009/04/08   14929.858273   -32.33     1.02   1.103    46144
